,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
0,A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,30.18B,42.99,95.14,-1.76%,"1,177,750"
1,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,2.61B,-,14.23,-1.18%,"4,896,328"
2,AAAU,Perth Mint Physical Gold ETF,Financial,Exchange Traded Fund,USA,-,-,19.25,-0.10%,"1,423,158"
3,AACG,ATA Creativity Global,Consumer Defensive,Education & Training Services,China,36.48M,-,1.14,3.64%,"17,474"
4,AACQU,Artius Acquisition Inc.,Financial,Shell Companies,USA,-,-,10.38,-0.58%,"113,775"
5,AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,-,-,54.36,-1.86%,"4,165"
6,AAL,American Airlines Group Inc.,Industrials,Airlines,USA,6.80B,-,13.63,0.15%,"70,788,740"
7,AAMC,Altisource Asset Management Corporation,Financial,Asset Management,USA,32.97M,-,21.00,0.29%,"14,145"
8,AAME,Atlantic American Corporation,Financial,Insurance - Life,USA,41.51M,-,2.05,1.49%,"3,455"
9,AAN,"Aaron's, Inc.",Industrials,Rental & Leasing Services,USA,3.78B,-,55.29,1.13%,"640,038"
10,AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA,235.68M,-,9.94,-5.51%,"607,107"
11,AAON,"AAON, Inc.",Industrials,Building Products & Equipment,USA,2.93B,42.05,55.50,-1.65%,"152,356"
12,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,10.59B,23.36,151.73,-1.31%,"1,195,067"
13,AAPL,Apple Inc.,Technology,Consumer Electronics,USA,1928.23B,34.30,112.82,-6.73%,"227,675,557"
14,AAT,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,1.55B,34.02,25.92,-0.88%,"252,651"
15,AAU,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,77.59M,-,0.68,-0.15%,"280,405"
16,AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,1.39B,-,53.78,-3.48%,"513,630"
17,AAXJ,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,-,-,76.00,-1.78%,"845,545"
18,AAXN,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,USA,5.28B,-,81.35,-1.60%,"578,216"
19,AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,2.62B,10.08,26.98,-3.99%,"370,355"
