,ms name,language,date,contents
0,ACA 00001,Syriac,"1,768 CE","['Book of Directions and admonitions\nܟܬܒܐ ܕܗܘܕܝ̈ܐ ܘܡܪ̈ܬܝܢܘܬܐ\nContains directions for priests on receiving confessions', 'ܟܬܒܐ ܕܗܘܕܝ̈ܐ ܘܡܪ̈ܬܝܢܘܬܐ', 'Contains directions for priests on receiving confessions']"
1,ACA 00002,"Neo-Aramaic, Syriac","1,766 CE","['Evangelion (Syriac Rite, Eastern)\nRubrics and colophon in Syriac, main\xa0text in Sureth', 'Rubrics and colophon in Syriac, main\xa0text in Sureth']"
2,ACA 00003,"Garshuni, Syriac","1,824 CE","['Book of Ordination\nܟܬܒܐ ܕܣܝܡܝܕܐ', 'ܟܬܒܐ ܕܣܝܡܝܕܐ']"
3,ACE 00001,Syriac,"1,700 CE","['Pentateuch (Genesis, Exodus, Leviticus, Numbers, Deuteronomy)\nܐܘܪܝܬܐ', 'ܐܘܪܝܬܐ']"
4,ACE 00002,Syriac,"1,882 CE","['Selections of the Old Testament\nܟܬܒܐ ܕܡܬܩܪܐ ܕܒܝܬ ܡܘܬܒ̈ܐ ܕܚܕܫ ܚܕ ܚ̈ܕܢܐ ܣܦܪ̈ܐ ܕܕܝܬܩܐ ܥܬܝܩܐ ܕܡܦܩܬܐ ܦܫܝܛܐ', 'ܟܬܒܐ ܕܡܬܩܪܐ ܕܒܝܬ ܡܘܬܒ̈ܐ ܕܚܕܫ ܚܕ ܚ̈ܕܢܐ ܣܦܪ̈ܐ ܕܕܝܬܩܐ ܥܬܝܩܐ ܕܡܦܩܬܐ ܦܫܝܛܐ']"
5,ACE 00003,Syriac,"1,800 CE","['Old Testament Selections\n1 Maccabees, fol. 1v-33v\xa0\n2 Maccabees, fol. 33v-60v\n3 Maccabees, fol. 61r-72v\n1-2 Chronicles, fol. 72v-132v\nEzra-Nehemiah, fol. 132v-155r\nWisdom of Solomon, fol. 155r-169r\nJudith, fol. 169r-182r\nEsther, fol. 182v-189v\nSusanna, fol. 189v-192v\nThe Letter of Jeremiah, fol. 192v-194v\n2 Baruch 78-86, fol. 195r-197r\nBaruch, fol. 197r-200v', '1 Maccabees, fol. 1v-33v', '2 Maccabees, fol. 33v-60v', '3 Maccabees, fol. 61r-72v', '1-2 Chronicles, fol. 72v-132v', 'Ezra-Nehemiah, fol. 132v-155r', 'Wisdom of Solomon, fol. 155r-169r', 'Judith, fol. 169r-182r', 'Esther, fol. 182v-189v', 'Susanna, fol. 189v-192v', 'The Letter of Jeremiah, fol. 192v-194v', '2 Baruch 78-86, fol. 195r-197r', 'Baruch, fol. 197r-200v']"
6,ACE 00004,Syriac,"1,865 CE","['Old Testament Selections\nܟܬܒܐ ܕܡܘ̈ܒܝܐ ܛܘܒܢ̈ܐ', 'ܟܬܒܐ ܕܡܘ̈ܒܝܐ ܛܘܒܢ̈ܐ']"
7,ACE 00005,Syriac,"1,800 CE",['Bible. Prophets']
8,ACE 00006,Syriac,"1,800 CE",['Bible. Book of Isaiah']
9,ACE 00007,Syriac,"1,800 CE",['Bible. New Testament']
